Date,Open,High,Low,Close,Volume,Adj Close
2011-03-04,3050.00,3089.80005,3049.30005,3062.8999,396900,539.83171
2011-03-03,3056.00,3056.1001,3003.50,3025.69995,385200,533.27528
2011-03-01,3035.00,3102.00,3008.00,3088.00,369000,544.25557
2011-02-28,3020.00,3135.00,2983.052,3003.052,575200,529.28361
2011-02-25,3027.00,3038.3999,2973.8999,3008.24805,702600,530.1994
2011-02-24,3060.00,3070.00,3006.19995,3025.3999,611500,533.22239
2011-02-23,3109.00,3109.00,3075.00,3082.19995,268700,543.23332
2011-02-22,3144.85205,3165.00,3115.30005,3143.30005,285600,554.00212
2011-02-21,3100.00,3175.1001,3076.8999,3161.19995,294700,557.15696
2011-02-18,3125.00,3145.00,3085.35205,3096.3999,356800,545.73604
2011-02-17,3114.00,3129.00,3102.35205,3111.19995,187800,548.34453
2011-02-16,3096.00,3122.00,3082.80005,3100.948,179000,546.53764
2011-02-15,3104.00,3129.8999,3077.00,3101.00,248400,546.5468
2011-02-14,3082.00,3118.00,3044.00,3104.552,232200,547.17284
2011-02-11,3055.00,3067.00,3023.00,3040.6001,250800,535.9014
2011-02-10,3117.00,3117.00,3045.3999,3056.052,266200,538.62478
2011-02-09,3093.8999,3149.00,3067.00,3127.00,282300,551.12926
2011-02-08,3100.00,3119.948,3075.00,3096.6001,282900,545.77132
2011-02-07,3081.00,3111.00,3061.00,3089.052,295900,544.44098
2011-02-04,3108.80005,3122.00,3028.50,3046.35205,346200,536.91518
2011-02-03,3087.1001,3150.00,3087.1001,3115.85205,265900,549.16445
2011-02-02,3121.00,3162.00,3069.00,3085.64795,385700,543.84102
2011-02-01,3133.00,3133.00,3047.052,3086.19995,440400,543.93831
2011-01-31,3139.00,3139.00,3091.552,3116.30005,305800,549.24341
2011-01-28,3204.052,3268.80005,3145.00,3173.50,624800,559.32482
2011-01-27,3266.00,3275.00,3186.00,3195.19995,458000,563.14941
2011-01-26,3254.1001,3254.1001,3254.1001,3254.1001,000,573.53047
2011-01-25,3275.00,3301.00,3235.35205,3254.1001,190500,573.53047
2011-01-24,3244.3999,3287.00,3228.50,3278.19995,216300,577.77804
2011-01-21,3267.00,3277.00,3233.00,3248.75195,216900,572.58787
2011-01-20,3238.00,3297.85205,3221.00,3289.1001,486100,579.69917
2011-01-19,3306.80005,3310.00,3237.00,3252.00,338300,573.16033
2011-01-18,3248.00,3332.00,3248.00,3318.14795,872700,584.81882
2011-01-17,3200.00,3282.00,3192.00,3267.948,501900,575.97115
2011-01-14,3206.80005,3277.00,3190.00,3201.948,770700,564.33874
2011-01-13,3290.00,3290.00,3201.00,3212.30005,1758800,566.16327
2011-01-12,3348.14795,3388.00,3321.052,3374.948,441900,594.82974
2011-01-11,3384.00,3418.80005,3290.24805,3329.24805,581800,586.77519
2011-01-10,3380.00,3441.80005,3352.00,3396.64795,622000,598.65433
2011-01-07,3475.00,3493.948,3356.00,3366.50,391700,593.3408
2011-01-06,3473.00,3492.00,3444.00,3475.85205,383000,612.61394
2011-01-05,3464.69995,3476.00,3447.00,3468.00,158900,611.23002
2011-01-04,3453.00,3489.8999,3453.00,3468.00,244100,611.23002
2011-01-03,3449.00,3458.85205,3427.00,3452.8999,193200,608.56865
2010-12-31,3427.00,3454.00,3406.3999,3445.00,259800,607.17631
2010-12-30,3400.00,3447.00,3399.50,3399.50,464600,599.157
2010-12-29,3377.14795,3406.80005,3372.00,3399.50,480100,599.157
2010-12-28,3378.00,3386.00,3364.14795,3381.85205,221200,596.04657
2010-12-27,3360.00,3391.00,3360.00,3368.50,169400,593.69329
2010-12-24,3343.19995,3378.00,3340.00,3368.50,363500,593.69329
2010-12-23,3340.00,3366.00,3330.00,3362.50,452000,592.6358
2010-12-22,3325.1001,3357.00,3313.50,3336.8999,252900,588.12382
2010-12-21,3350.00,3370.00,3311.00,3329.24805,357000,586.77519
2010-12-20,3225.14795,3363.00,3225.14795,3350.8999,655000,590.5913
2010-12-17,3292.30005,3292.30005,3292.30005,3292.30005,000,580.26316
2010-12-16,3211.1001,3296.948,3211.1001,3292.30005,548000,580.26316
2010-12-15,3153.00,3209.00,3150.00,3203.64795,369800,564.63835
2010-12-14,3161.00,3171.8999,3126.448,3151.052,310100,555.36839
2010-12-13,3149.00,3155.948,3075.00,3148.50,263000,554.91861
2010-12-10,3150.00,3162.00,3125.1001,3147.552,252900,554.75152
2010-12-09,3146.00,3182.8999,3140.00,3151.552,286900,555.45652
2010-12-08,3153.00,3164.448,3116.00,3134.6001,170900,552.46877
2010-12-07,3142.30005,3185.8999,3140.00,3167.75195,355500,558.31174
2010-12-06,3120.00,3171.80005,3120.00,3145.448,339600,554.3807
2010-12-03,3101.00,3144.69995,3101.00,3123.00,308900,550.42427
2010-12-02,3050.00,3109.85205,3036.35205,3095.448,802900,545.56827
2010-12-01,3040.00,3066.00,3035.00,3054.552,185100,538.36041
2010-11-30,3054.6001,3078.00,3015.14795,3049.448,207200,537.46083
2010-11-29,3050.80005,3094.00,3050.80005,3064.85205,293400,540.17578
2010-11-26,3061.50,3104.00,3025.00,3040.552,411300,535.89293
2010-11-25,3017.3999,3111.00,3011.00,3063.69995,988200,539.97272
2010-11-24,3013.14795,3035.00,2981.00,3001.00,315500,528.92194
2010-11-23,3029.69995,3059.8999,2979.69995,3013.30005,318700,531.08981
2010-11-22,2980.00,3069.69995,2975.00,3042.1001,374100,536.16578
2010-11-19,2997.00,3008.50,2950.00,2966.448,269900,522.8322
2010-11-18,2975.24805,3027.00,2972.30005,3004.14795,287300,529.47677
2010-11-17,2972.30005,2972.30005,2972.30005,2972.30005,000,523.86362
2010-11-16,3022.00,3022.00,2944.00,2972.30005,283600,523.86362
2010-11-15,2999.24805,3036.00,2983.69995,3024.24805,199600,533.01938
2010-11-12,3039.00,3039.00,2989.00,2999.24805,410100,528.61317
2010-11-11,3085.35205,3085.35205,3050.19995,3055.14795,218400,538.46544
2010-11-10,3038.00,3105.00,3032.00,3082.8999,676000,543.35668
2010-11-09,3030.00,3070.00,3030.00,3052.1001,206000,537.92826
2010-11-08,3082.00,3082.00,3014.00,3023.64795,282200,532.91361
2010-11-05,3076.00,3099.00,3070.052,3079.80005,50800,542.81034
